1 10 19
2 50 41
3 53 88
4 48 80
5 69 56
6 69 28
7 35 76
8 75 62
9 36 28
10 42 74
11 97 21
12 50 22
13 30 36
14 38 94
15 33 73
16 65 12
17 73 13
18 43 26
19 42 56
20 51 67
21 60 78
22 34 19
23 53 59
24 86 26
25 33 69
26 71 13
27 91 47
28 71 59
29 11 62
30 75 72
31 45 93
32 99 50
33 47 66
34 23 21
35 54 71
36 99 45
37 25 38
38 22 27
39 62 18
40 58 88
41 44 45
42 88 55
43 38 74
44 95 90
45 39 42
46 28 55
47 65 72
48 18 59
49 92 15
50 95 59
51 14 51
52 83 36
53 44 82
54 64 85
55 60 40
56 94 72
57 13 88
58 98 88
59 56 97
60 10 39
61 48 15
62 59 21
63 84 71
64 47 82
65 31 69
66 66 11
67 25 25
68 28 62
69 52 22
70 83 34
71 92 29
72 19 17
73 68 91
74 51 58
75 49 88
76 47 76
77 68 67
78 19 92
79 72 67
80 39 44
81 19 85
82 28 28
83 34 41
84 31 64
85 71 45
86 19 29
87 81 42
88 18 46
89 10 30
90 78 47
91 68 71
92 92 89
93 69 48
94 13 97
95 76 83
96 58 55
97 54 33
98 37 75
99 11 18
100 29 37
